code,term
10601006,Pain in lower limb
128200000,Complex regional pain syndrome
134407002,Chronic back pain
1362941000000102,Chronic pain of shoulder
144951000000106,Chronic mechanical low back pain
161891005,Backache
22253000,Pain
235841007,Chronic nonspecific abdominal pain
237067000,Chronic pain in female pelvis
274665008,Chronic intractable pain
278860009,Chronic low back pain
279032003,Chronic pelvic pain without obvious pathology
279039007,Low back pain
30077003,Somatoform pain disorder
3061000119102,Chronic nonmalignant pain
36630001,Deep pain
431481001,Chronic pain due to injury
49218002,Hip pain
68962001,Muscle pain
735644008,Chronic nociceptive pain
736464002,Chronic idiopathic pain syndrome
76948002,Severe pain
82423001,Chronic pain
860381000000107,Chronic pain review
